Date,Temperature (°C),Humidity (%),NO2 (80 µg/m³),SO2 (120 µg/m³),PM2.5 (35 µg/m³)
1/4/2024,27.33,52.67,11.89,13.14,30.74
2/4/2024,26.67,50.33,12.44,13.6,31.68
3/4/2024,24,50.67,12.3,13.56,31.47
4/4/2024,25,46.33,12.89,14.51,32.5
5/4/2024,24,55,11.33,15,33.22
6/4/2024,25,54,12,14.22,34
7/4/2024,23.66,50.33,12.36,13.76,31.5
8/4/2024,29,51,12.7,13.04,29.76
9/4/2024,26,52,13.12,13.51,28.51
10/4/2024,25,55,11,13.77,29.41
11/4/2024,27,58,12.06,14.19,33
12/4/2024,26,54,10.66,13,34.11
13-04-2024,27,55,11.12,12.83,32.31
14-04-2024,27,55,12.05,12.71,30.11
15-04-2024,24,57,10.77,12.56,31.24
16-04-2024,25,56,11,13.11,32
17-04-2024,23.33,55.33,12.43,12.71,31.12
18-04-2024,24,53,12,14.22,31.77
19-04-2024,25,48,10.89,15.51,30.89
20-04-2024,27,49,11,15,31.87
21-04-2024,29.67,40.67,11.25,11.66,29.9
22-04-2024,30,40,11.94,12.62,31.4
23-04-2024,31,40.67,12.45,13.22,32.07
24-04-2024,31.33,34.67,12.74,13.82,33.11
25-04-2024,25,41,12.22,14.23,34
26-04-2024,27,44,12.56,13.18,33.12
27-04-2024,26,47,12.31,12.61,32.12
28-04-2024,31.33,45,12.74,13.82,26.14
29-04-2024,28,45,12.29,12.77,31.11
30-04-2024,26,40,10,12.81,31
1/3/2024,16,79,10.13,11.41,24.25
2/3/2024,16.22,75,10.89,10.86,21.26
3/3/2024,15,78,9.52,10.54,18.39
4/3/2024,12.43,79,12.4,11.44,18.7
5/3/2024,18,61.33,11.25,12.34,23.05
6/3/2024,16,55,13.07,14.78,28
7/3/2024,15.33,60,13.47,15.34,29.04
8/3/2024,16.16,78,12.14,14.45,27.36
9/3/2024,16.72,72.33,13.42,13.95,25.68
10/3/2024,17,64.33,11.14,13.13,24.88
11/3/2024,18.33,60,12.69,14.03,27.76
12/3/2024,20.33,44.33,13.52,14.6,29
13-03-2024,16.33,85.67,11,11.48,25.94
14-03-2024,17.67,64,11.92,12.13,28.26
15-03-2024,17.63,66,11.96,12.48,27.13
16-03-2024,18.96,63,12.63,13.52,26.15
17-03-2024,22,45,11.62,12,26.34
18-03-2024,22.33,43.33,12.04,12.8,29.04
19-03-2024,24.33,38.33,12.75,13.34,30.73
20-03-2024,24.33,37,12.95,14.21,32.04
21-03-2024,22.33,52.67,12.53,14.11,29.37
22-03-2024,24.26,51,14.26,13.62,28.28
23-03-2024,23.63,53,12.26,14.29,29.86
24-03-2024,20.67,54.67,10.74,12.32,26.55
25-03-2024,29.33,53,11.72,13.22,30.49
26-03-2024,29,54.33,12.02,13.78,30.81
27-03-2024,27.67,67,10.44,11.2,26.77
28-03-2024,28.67,56.67,10.57,12.06,29.53
29-03-2024,26.14,53.23,11.29,12.87,28.96
30-03-2024,27.29,54.26,10.68,13.26,29.28
31-03-2024,27.66,64.33,9.88,11.09,26.68
1/2/2024,12.67,82.67,13.04,15.58,69.01
2/2/2024,12.3,82.23,12.25,14.28,58.23
3/2/2024,12.63,78.21,13.01,13.56,43.21
4/2/2024,12.57,81,12.98,12.96,38.14
5/2/2024,12.02,69.33,10.67,11.24,28
6/2/2024,12.09,68,11.64,12.14,28.7
7/2/2024,12.19,70.13,11.69,13.96,32.14
8/2/2024,13.8,63,12.12,13.38,30.11
9/2/2024,14.22,69.28,11.98,12.85,29.1
10/2/2024,14.54,58.69,13.28,13.54,36.12
11/2/2024,16,52,12.69,14.59,30.81
12/2/2024,17.47,50.67,12.84,15.33,32.41
13-02-2024,17.63,46,12.23,15.5,34.33
14-02-2024,18.3,45,12.23,15.83,34.87
15-02-2024,19.07,43.67,13.44,16.25,37.22
16-02-2024,18.42,57.54,12.28,17.25,34.15
17-02-2024,18.24,68.21,13.85,16.87,35.85
18-02-2024,17.61,71.74,9.86,12.86,29.12
